Date,Open,High,Low,Close,Vol
2005/1/3,12.35,13,12.3,12.75,7531
2005/1/4,12.75,12.75,12.35,12.4,3389
2005/1/5,12.2,12.2,12,12.1,3670
2005/1/6,11.95,12.25,11.95,12.05,1503
2005/1/7,12.1,12.2,11.9,11.9,1482
2005/1/10,11.9,12.05,11.8,11.9,1616
2005/1/11,11.9,12,11.9,12,971
2005/1/12,12,12.2,11.7,11.7,2220
2005/1/13,11.75,12,11.75,11.95,1430
2005/1/14,11.8,12.05,11.8,12.05,1257
2005/1/17,12.15,12.25,12.05,12.2,2187
2005/1/18,12.25,12.25,12.05,12.2,1243
2005/1/19,12.2,12.25,12,12.1,868
2005/1/20,11.9,12.1,11.75,11.8,1749
2005/1/21,11.8,11.9,11.7,11.9,990
2005/1/24,11.95,11.95,11.55,11.55,1132
2005/1/25,11.55,11.7,11.35,11.6,1967
2005/1/26,11.65,11.7,11.45,11.5,648
2005/1/27,11.5,11.65,11.5,11.6,517
2005/1/28,11.6,11.8,11.5,11.8,802
2005/1/31,11.9,12,11.8,11.9,2335
2005/2/1,11.9,12,11.7,11.75,656
2005/2/2,11.75,11.9,11.65,11.65,1181
2005/2/3,11.65,11.75,11.55,11.6,1425
2005/2/14,11.7,11.9,11.55,11.75,1295
2005/2/15,11.75,11.85,11.5,11.5,1509
2005/2/16,11.55,11.65,11.4,11.55,1342
2005/2/17,11.55,11.7,11.35,11.35,2125
2005/2/18,11.35,11.45,11.3,11.3,1655
2005/2/21,11.25,11.55,11.15,11.45,2427
2005/2/22,11.55,11.55,11.25,11.25,1090
2005/2/23,11.2,11.3,11.15,11.2,1437
2005/2/24,11.2,11.45,11.2,11.3,1172
2005/2/25,11.5,11.65,11.35,11.5,2678
2005/3/1,11.55,11.7,11.4,11.6,2247
2005/3/2,11.65,11.7,11.4,11.45,1021
2005/3/3,11.5,11.65,11.5,11.55,1444
2005/3/4,11.5,11.55,11.4,11.4,1060
2005/3/7,11.5,11.7,11.45,11.6,1616
2005/3/8,11.7,12.15,11.65,11.65,6941
2005/3/9,11.75,11.8,11.55,11.55,2167
2005/3/10,11.6,11.65,11.4,11.45,1588
2005/3/11,11.35,11.55,11.35,11.45,919
2005/3/14,11.4,11.5,11.25,11.25,1361
2005/3/15,11.35,11.5,11,11.1,2375
2005/3/16,11.1,11.2,11.05,11.1,1087
2005/3/17,11,11.2,11,11,814
2005/3/18,11,11.15,10.95,11.05,922
2005/3/21,11.05,11.15,11,11.05,762
2005/3/22,11,11.15,10.85,10.85,1440
2005/3/23,10.85,11,10.8,10.8,621
2005/3/24,10.8,10.95,10.8,10.85,814
